OBI-WAN	Yes, indeed.  If it's a fast ship.
HAN	Fast ship?  You've never heard of the Millennium Falcon?
OBI-WAN	Should I have?
HAN	It's the ship that made the Kessel run in less than twelve parsecs! I've outrun Imperial starships, not the local bulk-cruisers, mind you.  I'm talking about the big Corellian ships now.  She's fast enough for you, old man.  What's the cargo?
OBI-WAN	Only passengers.  Myself, the boy, two droids, and no questions asked.
HAN	What is it?  Some kind of local trouble?
OBI-WAN	Let's just say we'd like to avoid any Imperial entanglements.
HAN	Well, that's the real trick, isn't it?  And it's going to cost you something extra.  Ten thousand in advance.
LUKE	Ten thousand?  We could almost buy our own ship for that!
HAN	But who's going to fly it, kid! You?
OBI-WAN	We haven't that much with us. But we could pay you two thousand now, plus fifteen when we reach Alderaan.
HAN	Seventeen, huh! Okay.  You guys got yourself a ship.  We'll leave as soon as you're ready.  Docking bay Ninety-four.
OBI-WAN	Ninety-four.
HAN	Looks like somebody's beginning to take an interest in your handiwork.
TROOPER	All right, we'll check it out.
HAN	Seventeen thousand!  Those guys must really be desperate.  This could really save my neck.  Get back to the ship and get her ready.
===	===
GREEDO	Going somewhere, Solo?
HAN	Yes, Greedo.  As a matter of fact, I was just going to see your boss. Tell Jabba that I've got his money.
GREEDO	It's too late.  You should have paid him when you had the chance. Jabba's put a price on your head, so large that every bounty hunter in the galaxy will be looking for you.  I'm lucky I found you first.
HAN	Yeah, but this time I got the money.
GREEDO	If you give it to me, I might forget I found you.
HAN	I don't have it with me.  Tell Jabba...
GREEDO	Jabba's through with you.  He has no time for smugglers who drop their shipments at the first sign of an Imperial cruiser.
HAN	Even I get boarded sometimes.  Do you think I had a choice?
GREEDO	You can tell that to Jabba.  He may only take your ship.
HAN	Over my dead body.
GREEDO	That's the idea I've been looking forward to killing you for a long time.
HAN	Yes, I'll bet you have. Sorry about the mess.
===	===
JABBA	Come on out, Solo!
HAN	I've been waiting for you, Jabba.
JABBA	I expected you would be.
HAN	I'm not the type to run.
JABBA	Han, my boy, there are times when you disappoint me... why haven't you paid me?  And why did you have to fry poor Greedo like that... after all we've been through together.
HAN	You sent Greedo to blast me.
JABBA	Han, why you're the best smuggler in the business.  You're too valuable to fry.  He was only relaying my concern at your delays.  He wasn't going to blast you.
HAN	I think he thought he was.  Next time don't send one of those twerps. If you've got something to say to me, come see me yourself.
JABBA	Han, Han!  If only you hadn't had to dump that shipment of spice... you understand I just can't make an exception.  Where would I be if every pilot who smuggled for me dumped their shipment at the first sign of an Imperial starship?  It's not good business.
HAN	You know, even I get boarded sometimes, Jabba.  I had no choice, but I've got a charter now and I can pay you back, plus a little extra.  I just need some more time.
JABBA	Put your blasters away.  Han, my boy, I'm only doing this because you're the best and I need you.  So, for an extra, say... twenty percent I'll give you a little more time... but this is it.  If you disappoint me again, I'll put a price on your head so large you won't be able to go near a civilized system for the rest of your short life.
HAN	Jabba, I'll pay you because it's my pleasure.
===	===
LUKE	What a piece of junk.
HAN	She'll make point five beyond the speed of light.  She may not look like much, but she's got it where it counts, kid.  I've added some special modifications myself. We're a little rushed, so if you'll hurry aboard we'll get out of here.
===	===
LUKE	Why don't you outrun them?  I thought you said this thing was fast.
HAN	Watch your mouth, kid, or you're going to find yourself floating home.  We'll be safe enough once we make the jump to hyperspace. Besides, I know a few maneuvers. We'll lose them!
===	===
OBI-WAN	How long before you can make the jump to light speed?
HAN	It'll take a few moments to get the coordinates from the navi- computer.
LUKE	Are you kidding?  At the rate they're gaining...
HAN	Traveling through hyperspace isn't like dusting crops, boy!  Without precise calculations we could fly right through a star or bounce too close to a supernova and that'd end your trip real quick, wouldn't it?
LUKE	What's that flashing?
HAN	We're losing our deflector shield. Go strap yourself in, I'm going to make the jump to light speed.
===	===
OBI-WAN	I felt a great disturbance in the Force... as if millions of voices suddenly cried out in terror and were suddenly silenced.  I fear something terrible has happened. You'd better get on with your exercises.
HAN	Well, you can forget your troubles with those Imperial slugs.  I told you I'd outrun 'em. Don't everyone thank me at once. Anyway, we should be at Alderaan about oh-two-hundred hours.
C-3PO	Now be careful, Artoo. He made a fair move.  Screaming about it won't help you.
HAN	Let him have it. It's not wise to upset a Wookiee.
C-3PO	But sir, nobody worries about upsetting a droid.
HAN	That's 'cause droids don't pull people's arms out of their socket when they lose.  Wookiees are known to do that.
OBI-WAN	Partially. But it also obeys your commands.
